CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,COMPANY_SUB_CATEGORY,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,INDUSTRIAL_CLASS,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,REGISTERED_OFFICE_ADDRESS,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,LATEST_YEAR_ANNUAL_RETURN,LATEST_YEAR_FINANCIAL_STATEMENT
U05001AN1991SGC000035,ANDAMAN FISHERIES LIMITED,Active,Public,Company limited by Shares,State Govt company,10-05-1991,Andaman and Nicobar Islands,10000000,10000000,`05001,Agriculture and Allied Activities,Udyog Parisar Middle Point AN IN 744104,RoC-Chennai,aniidco@gmail.com,31-03-2017,31-03-2017
U05001AN1994PTC000047,OCEAN AIDS MARINE PRODUCTS PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,15-07-1994,Andaman and Nicobar Islands,5000000,0,`05001,Agriculture and Allied Activities,"Lamba Line ,Post Box No 428 Port Blair Andaman AN IN 744103",RoC-Chennai,NA,NA,NA
U05002AN2017PTC005336,SOLOM TRADING PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,23-01-2017,Andaman and Nicobar Islands,1000000,100000,`05002,Agriculture and Allied Activities,"Village Aberdeen, Port Blair Tehsil Port Blair Andaman Islands AN IN 744101",RCAND,subashinirubin@gmail.com,NA,NA
U05005AN2018PTC005396,AQUATROPICS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,15-02-2018,Andaman and Nicobar Islands,100000,100000,`05005,Agriculture and Allied Activities,"H NO:112, 2ND FLOOR, TYLARABAD, SHIPPIGHAT, SOUTH ANDAMAN Andaman Islands AN IN 744105",RCAND,varmaspace@gmail.com,NA,NA
U14100AN2009PTC000126,ANDAMAN STONE PRODUCTS PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,09-12-2009,Andaman and Nicobar Islands,1000000,150000,`14100,Mining & Quarrying,M.B 34 ABERDEEN BAZAR PORT BLAIR Andaman Islands AN IN 744101,RoC-Chennai,babu.badat@gmail.com,NA,NA
U14106AN2009PTC000120,IYYAN BLUE METALS PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,28-07-2009,Andaman and Nicobar Islands,1000000,100000,`14106,Mining & Quarrying,NEAR TCI SEAWAYS JUNGLIGHAT PORT BLAIR Andaman Islands AN IN 744102,RoC-Chennai,babu.badat@gmail.com,NA,NA
U24221AN1994PTC000044,ANDAMAN PAINTS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,08-03-1994,Andaman and Nicobar Islands,1000000,630000,`24221,"Manufacturing (Metals & Chemicals, and products thereof)",Plot No D 14 Industrial Estate Garacharma Port Blair AN IN 744104,RoC-Chennai,applindia@yahoo.com,31-03-2016,31-03-2016
U52609AN2016PTC005322,DOOJAIN TRADELINES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,23-12-2016,Andaman and Nicobar Islands,1000000,900000,`52609,Trading,"AUSTINABAD, PROTHRAPUR, SOUTH ANDAMAN PORT BLAIR Andaman Islands AN IN 744103",RCAND,doojainconfac@gmail.com,NA,NA
U55100AN2009PTC000115,U AND I RESORTS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,18-06-2009,Andaman and Nicobar Islands,1000000,999530,`55100,Trading,HAVELOCK PORT BLAIR AN IN 744211,RoC-Chennai,babu.badat@gmail.com,31-03-2017,31-03-2017
U55100AN2015PTC000275,SEA GRASS RESORTS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,15-09-2015,Andaman and Nicobar Islands,1000000,100000,`55100,Trading,"FIRST FLOOR, BEHIND GANESH TEMPLE BABU LANE, ABERDEEN BAZAAR PORT BLAIR Andaman Islands AN IN 744101",RoC-Chennai,gulmuhar21031986@gmail.com,NA,NA
U55100AN2017PTC005346,ANDAMAN MOUNT HARRIAT RESORTS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,22-03-2017,Andaman and Nicobar Islands,1000000,100000,`55100,Trading,GARACHARMA GARACHARMA PO PORT BLAIR Andaman Islands AN IN 744105,RCAND,SKSSTALIN@REDIFFMAIL.COM,31-03-2017,31-03-2017
U55101AN1976PTC000003,THE BAY ISLANDS HOTELS PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,24-03-1976,Andaman and Nicobar Islands,2000000,0,`55101,Trading,XX XX AN IN 744104,RoC-Chennai,NA,NA,NA
U55101AN1985PTC000017,HOTEL ANDAMAN SEA RESORT PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,20-12-1985,Andaman and Nicobar Islands,2000000,1550000,`55101,Trading,"NO.2, MIDDLE POINT PORT BLAIR ANDAMANS AN IN 744104",RoC-Chennai,akayes123@gmail.com,31-03-2017,31-03-2017
U55101AN1986PTC000018,BAY ISLAND DOLPHIN HOTEL AND TOURISM PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,20-10-1986,Andaman and Nicobar Islands,1000000,200,`55101,Trading,Tower House Aberdeen Bazar AN IN 744104,RoC-Chennai,NA,NA,NA
U55101AN1986PTC000019,BLUE SEA HOTELS(ANDAMANS) PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,10-11-1986,Andaman and Nicobar Islands,2000000,229600,`55101,Trading,10 MG Road Middle Point Port Blair AN IN 744104,RoC-Chennai,roybagchi@gmail.com,31-03-2017,31-03-2017
U55101AN1986PTC000020,ANDAMAN RESORTS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,13-11-1986,Andaman and Nicobar Islands,1000000,500000,`55101,Trading,No 2 Middle Point Port Blair AN IN 744104,RoC-Chennai,roc@vlp.co.in,31-03-2016,31-03-2016
U55101AN1987PTC000022,HOTEL DHANALAKSHMI PRIVATE LIMITED.,Active,Private,Company limited by Shares,Non-govt company,17-03-1987,Andaman and Nicobar Islands,400000,315000,`55101,Trading,Abereen Bazaaar Port Blair Andaman AN IN 744101,RoC-Chennai,roybagchi@gmail.com,31-03-2017,31-03-2017
U55101AN1989PTC000031,HOTEL ABHISHEKH (ANDAMANS) PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,06-04-1989,Andaman and Nicobar Islands,500000,207000,`55101,Trading,Golghar Port Blair South Andamans AN IN 744104,RoC-Chennai,roybagchi@gmail.com,31-03-2017,31-03-2017
U55101AN1994PTC000048,ISLET FOOD PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,06-12-1994,Andaman and Nicobar Islands,500000,310000,`55101,Trading,MB5 Atlanta Point GB Panth Hospital Road Port Blair AN IN 744104,RoC-Chennai,nirmalkaushik@hotmail.com,31-03-2009,31-03-2009
U55101AN2001PTC000067,HOTEL APARUPA (ANDAMANS) PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,06-12-2001,Andaman and Nicobar Islands,1000000,337000,`55101,Trading,Goal Guar Link Road Port Blair AN IN 744101,RoC-Chennai,hotelaparupa@yahoo.com,31-03-2017,31-03-2017
U55101AN2004PTC000071,SUN SEA RESORT PRIVATE LIMITED.,Active,Private,Company limited by Shares,Non-govt company,20-05-2004,Andaman and Nicobar Islands,1000000,950000,`55101,Trading,109 MG ROAD MIDDLE POINT PORT BLAIR AN IN 744101,RoC-Chennai,roybagchi@gmail.com,31-03-2017,31-03-2017
U55101AN2007PTC000082,GOLDEN REST ROOM PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,26-03-2007,Andaman and Nicobar Islands,1000000,100000,`55101,Trading,Golden Rest room Prem Nagar Port Blair AN IN 744101,RoC-Chennai,NA,NA,NA
U55101AN2008PTC000094,CORAL SEA RESORT (ANDAMAN) PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,31-01-2008,Andaman and Nicobar Islands,200000,200000,`55101,Trading,BURMANALLA PO BIMBLITAN PORT BLAIR AN IN 744103,RoC-Chennai,ROC@VLP.CO.IN,31-03-2017,31-03-2017
U55101AN2008PTC000099,HOTEL SARVOTTAM (ANDAMAN) PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,06-06-2008,Andaman and Nicobar Islands,200000,200000,`55101,Trading,"No.15, TEYLARBAD PORT BLAIR Andaman Islands AN IN 744103",RoC-Chennai,roc@vlp.co.in,31-03-2015,31-03-2015
U55101AN2008PTC000101,BLUE PLANET HOTELS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,18-08-2008,Andaman and Nicobar Islands,500000,100000,`55101,Trading,ABERDEEN BAZAR PORT BLAIR AN IN 744101,RoC-Chennai,ROC@VLP.CO.IN,31-03-2014,31-03-2014
U55101AN2008PTC000104,ABERDEEN HOTELS & ESTATES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,25-11-2008,Andaman and Nicobar Islands,1000000,100000,`55101,Trading,ABEERDEEN BAZAR PORT BLAIR AN IN 744101,RoC-Chennai,roybagchi@gmail.com,31-03-2015,31-03-2015
U55101AN2009PTC000125,MUNJOH RESORTS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,01-12-2009,Andaman and Nicobar Islands,50000000,50000000,`55101,Trading,HAVELOCK PORT BLAIR AN IN 744206,RoC-Chennai,ROC@VLP.CO.IN,31-03-2017,31-03-2017
U55101AN2010PTC000146,ANDAMAN DOWN UNDER RESORTS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,02-11-2010,Andaman and Nicobar Islands,2000000,600000,`55101,Trading,8/27 SAHAJEEVAN COLONY HADDO PORT BLAIR AN IN 744101,RoC-Chennai,babu.badat@gmail.com,31-03-2015,31-03-2015
U55101AN2011PTC005345,PRINCE HOLIDAY INN PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,04-04-2011,Andaman and Nicobar Islands,5000000,200000,`55101,Trading,"GARACHARMA POST, OPPOSITE I.O.B. GARACHARMA PORT BLAIR Andaman Islands AN IN 744105",RoC-Chennai,sagar.khurana@hotmail.com,31-03-2017,31-03-2017
U55101AN2011PTC005362,BAY WATCH HOTEL & RESORT PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,07-04-2011,Andaman and Nicobar Islands,5000000,2310000,`55101,Trading,"DA BAY INN S S ROAD, HADDO PORT BLAIR Andaman Islands AN IN 744102",RCAND,dabayinnandaman@rediffmail.com,31-03-2017,31-03-2017
U55101AN2013PTC000190,BLUE GREEN BEACH RESORT PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,05-04-2013,Andaman and Nicobar Islands,100000,100000,`55101,Trading,C 19 KODIYAGHAT BIMBLITAN MAKHAPAHAR PORT BLAIR Andaman Islands AN IN 744105,RoC-Chennai,ROC@VLP.CO.IN,NA,NA
U55101AN2013PTC000196,BLUE GREEN VENTURES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,06-06-2013,Andaman and Nicobar Islands,100000,100000,`55101,Trading,1/86 FIRST FLOOR J N ROAD HADDO PORT BLAIR Andaman Islands AN IN 744102,RoC-Chennai,chendooran.pathmanathan@gmail.com,31-03-2017,31-03-2017
U55101AN2014PTC000215,FALCON RESORT (INDIA) PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,25-02-2014,Andaman and Nicobar Islands,20000000,8980000,`55101,Trading,"72 R P ROAD, NEAR DIGNABAD SCHOOL DIGNABAD, UNDER PORT BLAIR TEHSIL PORT BLAIR Andaman Islands AN IN 744101",RoC-Chennai,ROC@VLP.CO.IN,31-03-2014,31-03-2015
U55101AN2014PTC000217,JADWET RESORTS AND LEISURE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,07-03-2014,Andaman and Nicobar Islands,10000000,10000000,`55101,Trading,ABERDEEN BAZAR PORT BLAIR Andaman Islands AN IN 744101,RoC-Chennai,babu.badat@gmail.com,NA,NA
U55101AN2014PTC000233,MANSHA HOSPITALITY AND SERVICES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,23-10-2014,Andaman and Nicobar Islands,5000000,100000,`55101,Trading,"FORESHORE ROAD, HADDO PORT BLAIR Andaman Islands AN IN 744102",RoC-Chennai,babu.badat@gmail.com,31-03-2015,31-03-2015
U55101AN2015PTC000261,AKABEA RESORTS AND LEISURE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,04-06-2015,Andaman and Nicobar Islands,1000000,500000,`55101,Trading,"GROUND FLOOR, ANNAMALAI UNIVERSITY BUILDING, MIDDLE POINT, PORT BLAIR Andaman Islands AN IN 744101",RoC-Chennai,javed.khan@msn.com,31-03-2017,31-03-2017
U55101AN2015PTC000268,WHITE CORAL BEACH RESORT PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,06-08-2015,Andaman and Nicobar Islands,1000000,800000,`55101,Trading,OPP.BATHUNBASTI PETROL PUMP GARACHARMA POST PORT BLAIR Andaman Islands AN IN 744105,RoC-Chennai,roc@vlp.co.in,31-03-2016,31-03-2016
U55101AN2015PTC000271,HOLIDAY INN BEACH RESORT PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,19-08-2015,Andaman and Nicobar Islands,2000000,900000,`55101,Trading,ISLAND ARCADE COMPLEX JUNGLIGHAT PORT BLAIR Andaman Islands AN IN 744103,RoC-Chennai,holidayinn_havelock@yahoo.in,NA,NA
U55101AN2015PTC000272,HOTEL BLUE WAVES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,19-08-2015,Andaman and Nicobar Islands,1000000,100000,`55101,Trading,"PAHARGAON, SOUTH ANDAMAN PORT BLAIR Andaman Islands AN IN 744103",RoC-Chennai,babu.badat@gmail.com,NA,NA
U55101AN2016PTC005298,ROYAL RESORTS & LEISURE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,30-04-2016,Andaman and Nicobar Islands,2000000,100000,`55101,Trading,JUNGLIGHAT SOUTH ANDAMAN PORT BLAIR Andaman Islands AN IN 744103,RoC-Chennai,babu.badat@gmail.com,NA,NA
U55101AN2016PTC005307,WOODQUARTER RESORTS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,04-07-2016,Andaman and Nicobar Islands,2000000,100000,`55101,Trading,"Radhanagar, Havelock South Andaman Port Blair Andaman Islands AN IN 744211",RCAND,susheeldixit63@gmail.com,NA,NA
U55101AN2016PTC005316,SLR HOSPITALITY (ANDAMAN) PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,05-10-2016,Andaman and Nicobar Islands,100000,100000,`55101,Trading,M B 44 NEAR CUT STUDIO PHONEIX BAY PORT BLAIR Andaman Islands AN IN 744102,RCAND,andamanleisure@gmail.com,NA,NA
U55102AN2009PTC000110,EMERALD GECKO(ANDAMANS) RESORTS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,24-03-2009,Andaman and Nicobar Islands,1000000,900000,`55102,Trading,M.B 15 M.G ROAD PORT BLAIR AN IN 744101,RoC-Chennai,babu.badat@gmail.com,31-03-2017,31-03-2017
U55200AN2015PTC000267,JOYE GRAND HOTEL PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,05-08-2015,Andaman and Nicobar Islands,900000,900000,`55200,Trading,"GOVINDA NAGAR, HAVELOCK ISLAND PORT BLAIR TEHSIL , DISTRICT SOUTH ANDAMAN PORT BLAIR Andaman Islands AN IN 744211",RoC-Chennai,ROC@VLP.CO.IN,31-03-2016,31-03-2016
U55204AN2007PTC000088,SHELL RESORTS PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,17-08-2007,Andaman and Nicobar Islands,5000000,100000,`55204,Trading,CHURCH ROAD GOAL GHAR PORT BLAIR AN IN 744101,RoC-Chennai,NA,NA,NA
U55204AN2016PTC000289,JADWET HOTELS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,14-03-2016,Andaman and Nicobar Islands,1000000,100000,`55204,Trading,ABERDEEN BAZAAR PORT BLAIR Andaman Islands AN IN 744101,RoC-Chennai,babu.badat@gmail.com,NA,NA
U55204AN2016PTC000295,SUDHARSHAN ECO FRIENDLY RESORTS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,21-03-2016,Andaman and Nicobar Islands,1000000,100000,`55204,Trading,"K RAMAMOORTHY MANJERI, FERRARGUNJ PORT BLAIR Andaman Islands AN IN 744108",RoC-Chennai,ROC@VLP.CO.IN,NA,NA
U55205AN2017PTC005342,HAVELOCK COCONUT LEISURE RESORT PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,01-03-2017,Andaman and Nicobar Islands,1000000,1000000,`55205,Trading,"Vijaynagar, Havelock Port Blair Andaman Islands AN IN 744211",RCAND,ajitroykr@gmail.com,NA,NA
U55207AN2010PTC000145,LUSH GREEN ISLAND RESORTS AND TRADE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,05-07-2010,Andaman and Nicobar Islands,500000,200000,`55207,Trading,15/12. S.N.Road Goalghar Port Blair Andaman Islands AN IN 744102,RoC-Chennai,pkentp@yahoo.co.in,NA,NA
U55209AN2014PTC000235,SEA STAR BEACH RESORT PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,25-11-2014,Andaman and Nicobar Islands,200000,200000,`55209,Trading,"LAXMANPUR, NEIL ISLAND NEIL ISLAND Andaman Islands AN IN 744104",RoC-Chennai,babu.badat@gmail.com,NA,NA
U55209AN2016PTC005320,COCONHUTS (ANDAMAN) BEACH RESORT PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,07-12-2016,Andaman and Nicobar Islands,2000000,100000,`55209,Trading,"Neil Kendra, Neil Island, South Andaman PORT BLAIR Andaman Islands AN IN 744104",RCAND,babu.badat@gmail.com,NA,NA
U55209AN2017PTC005337,ANDAMAN RAMTULSI PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,30-01-2017,Andaman and Nicobar Islands,1000000,100000,`55209,Trading,"CARI ROAD, BATHUBASTI GARACHARMA PORT BLAIR Andaman Islands AN IN 744105",RCAND,TAMARAISELVI9@GMAIL.COM,NA,NA
U55209AN2017PTC005348,HAYWIZZ ELITE HAVELOCK ISLAND RESORTS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,29-03-2017,Andaman and Nicobar Islands,1000000,100000,`55209,Trading,"36, MA ROAD, NEAR RAYMOND SHOP, PHOENIX BAY, PORT BLAIR, SOUTH ANDAMAN Andaman Islands AN IN 744102",RoC-Chennai,haywizzelite@gmail.com,NA,NA
U55209AN2017PTC005366,MANIKA VINAYAGAR HOTEL PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,11-09-2017,Andaman and Nicobar Islands,1000000,100000,`55209,Trading,M SENTHIL NATHAN S.NO.227/1/9 PROTHRAPUR PORT BLAIR Andaman Islands AN IN 744105,RCAND,sentnin14680@gmail.com,NA,NA
U55209AN2017PTC005372,SRI PONNU SWAMY ENTERPRISES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,12-10-2017,Andaman and Nicobar Islands,500000,100000,`55209,Trading,"118, J.N. ROAD, DELANIPUR JUNCATION, BHD CENTRAL BANK OF INDIA, PORT BLAIR, SOUTH ANDAMAN Andaman Islands AN IN 744102",RCAND,anburamu1988@gmail.com,NA,NA
U55209AN2018PTC005390,ATOMIUM HOTELS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,10-01-2018,Andaman and Nicobar Islands,1000000,100000,`55209,Trading,"15, F M C ROAD, NEAR KALI TEMPLE, PREM NAGAR, HADDO, PORT BLAIR Andaman Islands AN IN 744101",RCAND,nirapada321@gmail.com,NA,NA
U60231AN2010PTC000132,ANDAMANS PACKERS AND MOVERS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,03-03-2010,Andaman and Nicobar Islands,500000,500000,`60231,"Transport, storage and Communications",WARD NO.10-1 JUNGLIGHAT PORT BLAIR AN IN 744103,RoC-Chennai,roc@vlp.co.in,31-03-2017,31-03-2017
U00339AN1986PLC007658,HIGHTECH PISTON (KARNATAKA) LIMITED,Strike Off,Public,Company limited by Shares,Non-govt company,18-06-1986,Andaman and Nicobar Islands,500000,0,`00339,OTHERS,"3RD FLOOR,TOWER BLOCK,UNITYBUILDINGS,J.C.ROAD, ,BANGALORE-2. BANGALORE AN IN 000000",RoC-Chennai,NA,NA,NA
U01100AN2016PTC005301,AMMAN POULTRY AND FEEDS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,30-05-2016,Andaman and Nicobar Islands,3000000,2000000,`01100,Agriculture and Allied Activities,BEODNABAD MAKKA PAHAR PORT BLAIR Andaman Islands AN IN 744105,RoC-Chennai,murugang1978@gmail.com,31-03-2017,31-03-2017
U01110AN2016PTC005317,ISLAND ORGANIC PRODUCER COMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,18-10-2016,Andaman and Nicobar Islands,100000,100000,`01110,Agriculture and Allied Activities,NIKETAN COLONY SCHOOL LINE PORT BLAIR Andaman Islands AN IN 744103,RCAND,ANDAMANCPC@GMAIL.COM,31-03-2017,31-03-2017
U01110AN2017PTC005386,MAYABUNDER AGRICULTURAL PRODUCER COMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,21-12-2017,Andaman and Nicobar Islands,1000000,100000,`01110,Agriculture and Allied Activities,"Harinagar, Mayabunder Tehsil N & M Andaman MAYABUNDER Andaman Islands AN IN 744202",RCAND,JAYANTANAGBOD@GMAIL.COM,NA,NA
U01111AN1994PTC000046,RAMYGANS PLANTATION PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,14-06-1994,Andaman and Nicobar Islands,1000000,0,`01111,Agriculture and Allied Activities,Delanipur School Phoenix Bat Port Blair AN IN 744102,RoC-Chennai,NA,NA,NA
U01111AN1997PTC000056,ECO RESORTS PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,15-07-1997,Andaman and Nicobar Islands,1000000,10000,`01111,Agriculture and Allied Activities,PremNagar Port Blair AN IN 744101,RoC-Chennai,NA,NA,NA
